kepid,kepoi_name,kepler_name,ra,dec
11401767,K02195.01,Kepler-372 c,291.2562,49.258949
10909127,K02200.01,Kepler-1138 b,285.89923,48.307301
3661886,K02279.01,Kepler-377 c,295.422,38.735691
3661886,K02279.02,Kepler-377 b,295.422,38.735691
2439243,K02280.01,Kepler-1172 b,290.47452,37.766602
9221517,K02281.01,Kepler-1173 b,293.1311,45.663551
6751874,K02282.01,Kepler-1174 b,281.83145,42.298908
10863608,K02368.01,Kepler-1210 b,292.83215,48.21936
5602588,K02369.01,Kepler-1211 b,285.72079,40.85696
11288051,K00241.02,Kepler-124 d,286.75278,49.064911
5602588,K02369.02,,285.72079,40.85696
5385304,K02370.01,,297.5582,40.541309
5547480,K00224.01,,295.6402,40.794842
11462341,K02124.01,,295.28854,49.379791
9405595,K02125.01,Kepler-1797 b,292.46429,45.968288
3546060,K02126.01,Kepler-1110 b,291.80801,38.6227
7019489,K02128.01,,286.94415,42.580631
2141783,K02201.01,,286.37,37.552521
4144576,K02202.01,Kepler-1139 b,287.94562,39.230572
8494542,K02204.01,Kepler-1807 b,291.54941,44.52729
9992325,K02205.01,Kepler-1140 b,281.69397,46.946449
11073656,K02206.01,,285.96802,48.67905
10206675,K02283.01,,291.37744,47.21257
9945370,K02285.01,Kepler-1175 b,289.1427,46.812889
3832716,K00027.01,,285.39404,38.904911
8453211,K00236.01,,298.80206,44.420349
8973129,K02286.01,Kepler-1176 b,297.91974,45.274158
12505654,K02353.01,Kepler-1829 b,288.66449,51.498421
7215678,K02354.01,,296.06625,42.768219
11670125,K02355.01,Kepler-1206 b,295.93842,49.791142
11461844,K02356.01,Kepler-1207 b,295.06424,49.35899
7449554,K02357.01,,293.20377,43.057011
9351920,K02129.01,Kepler-1111 b,295.46338,45.81274
2161536,K02130.01,Kepler-1798 b,291.7262,37.5289
10549023,K02131.01,Kepler-1112 b,296.96881,47.751492
9661979,K02132.01,Kepler-1681 b,296.69727,46.371712
8219268,K02133.01,Kepler-91 b,285.67288,44.11673
10531955,K02208.01,Kepler-1141 b,290.54364,47.725887
4833421,K00232.02,Kepler-122 b,291.11188,39.949108
8168187,K02209.01,Kepler-1142 b,292.71445,44.082329
4142847,K02210.01,Kepler-1143 b,287.30283,39.289688
10203349,K02212.01,Kepler-1144 b,290.04327,47.25798
9718066,K02287.01,Kepler-378 b,294.94858,46.438641
3440978,K02288.01,,290.703,38.567032
3867615,K02289.01,Kepler-379 c,295.70111,38.945831
12121570,K02290.01,Kepler-1816 b,296.85101,50.698929
8410415,K02291.01,Kepler-1817 b,282.03329,44.478008
7987866,K02363.01,Kepler-1832 b,299.85184,43.732182
9532710,K02364.01,,294.3847,46.157841
11560897,K02365.01,Kepler-430 b,292.80865,49.579441
11342416,K02366.01,Kepler-1209 b,287.5849,49.154789
9086251,K02367.01,Kepler-1833 b,290.87137,45.410301
4254466,K02134.01,Kepler-1113 b,289.40671,39.33884
5801571,K00225.01,,294.9133,41.074711
9904006,K02135.01,Kepler-361 c,296.80344,46.74115
5288570,K02136.01,,295.50107,40.410225
9364609,K02137.01,Kepler-1114 b,299.23694,45.834702
7457296,K02213.01,Kepler-1145 b,295.30817,43.044411
10328458,K02214.01,Kepler-1146 b,286.71661,47.425629
7050060,K02215.01,,296.25507,42.53022
4248120,K02216.01,Kepler-1808 b,287.29251,39.383221
9580992,K02217.01,,288.64252,46.21566
8321314,K02293.01,Kepler-1683 b,298.45013,44.284012
6934986,K02294.01,,287.1532,42.421612
4049901,K02295.01,,289.54514,39.164429
11498128,K02296.01,Kepler-1177 b,286.67145,49.406288
8041216,K00237.01,Kepler-500 b,295.95135,43.852051
11824786,K02371.01,Kepler-1212 b,296.85342,50.03735
12254909,K02372.01,Kepler-1213 b,289.48581,50.94416
10798331,K02373.01,,292.31467,48.140461
9364290,K02374.01,Kepler-382 b,299.13617,45.86993
9364290,K02374.02,Kepler-382 c,299.13617,45.86993
5022828,K02138.01,Kepler-1115 b,294.99176,40.144409
8233702,K02140.01,Kepler-1116 b,291.93365,44.115501
11403339,K02143.01,Kepler-1117 b,292.08478,49.23748
8260902,K02144.01,Kepler-1118 b,299.96567,44.160889
8381204,K02145.01,Kepler-1119 b,297.01913,44.327518
12058204,K02218.01,Kepler-373 b,289.388,50.59705
12058204,K02218.02,Kepler-373 c,289.388,50.59705
4833421,K00232.03,Kepler-122 d,291.11188,39.949108
5357545,K02219.01,Kepler-1809 b,290.26535,40.548649
6871071,K02220.01,Kepler-374 c,294.13791,42.370499
5342473,K02297.01,Kepler-1818 b,284.32852,40.568909
9334893,K02298.01,,288.45605,45.80212
9963265,K02299.01,Kepler-1819 b,296.56006,46.857479
10583761,K02300.01,Kepler-1179 b,284.09763,47.810638
7542813,K02302.01,Kepler-1180 b,295.88751,43.156059
12058147,K02072.01,Kepler-1082 b,289.35867,50.59848
8164257,K02073.01,Kepler-357 d,291.2431,44.00872
8164257,K02073.02,Kepler-357 b,291.2431,44.00872
8164257,K02073.03,Kepler-357 c,291.2431,44.00872
10593759,K00025.01,,289.26166,47.815521
6774537,K02146.01,Kepler-1120 b,290.91449,42.286579
10404582,K02147.01,Kepler-362 c,291.77164,47.5299
5959753,K00226.01,Kepler-496 b,291.6409,41.241039
6021193,K02148.01,Kepler-363 d,283.19208,41.305389
6021193,K02148.02,Kepler-363 c,283.19208,41.305389
6871071,K02220.02,Kepler-374 d,294.13791,42.370499
6871071,K02220.03,Kepler-374 b,294.13791,42.370499
6287313,K02221.01,Kepler-1147 b,292.54752,41.64296
9289704,K02222.01,,295.24734,45.757401
9278725,K02223.01,Kepler-1148 b,290.95355,45.719528
4458082,K02303.01,Kepler-1181 b,289.74731,39.523453
8042453,K02304.01,Kepler-1182 b,296.30795,43.82135
10874215,K02305.01,Kepler-1820 b,296.71274,48.272308
6666233,K02306.01,,282.28439,42.15419
7661065,K02307.01,,282.14923,43.37859
3937519,K00221.02,Kepler-495 c,285.93069,39.098141
8866137,K02074.01,Kepler-1083 b,283.16196,45.198311
10857519,K02075.01,Kepler-1084 b,290.10196,48.251141
9517393,K02076.01,Kepler-1085 c,287.47763,46.141178
9351316,K02078.01,Kepler-1086 b,295.25116,45.842972
6021193,K02148.03,Kepler-363 b,283.19208,41.305389
10617017,K02149.01,Kepler-1121 b,297.78659,47.88612
3229150,K02150.01,Kepler-1979 b,289.84286,38.309601
7989422,K02151.01,,300.22519,43.758179
9641481,K02152.01,Kepler-1122 b,288.28052,46.3409
8892157,K02224.01,Kepler-1149 b,294.18927,45.151581
8892157,K02224.02,,294.18927,45.151581
11569782,K02225.01,Kepler-1150 b,296.72449,49.532711
4833421,K00232.04,Kepler-122 e,291.11188,39.949108
11520459,K02226.01,,297.52542,49.401451
7219825,K00238.01,Kepler-123 b,296.99863,42.78196
3749978,K02308.01,Kepler-1183 b,292.23242,38.89222
10010440,K02309.01,Kepler-1184 b,291.28207,46.965988
11718144,K02310.01,Kepler-1821 b,294.52545,49.872471
4247991,K02311.01,,287.24118,39.33276
