hostname,host_ra,host_dec,sy_dist
EPIC 206317286,337.6178427,-7.972456,314.35
GJ 3090,20.4384281,-46.7147234,22.4751
Qatar-6,222.2100773,22.1526136,100.848
gam Cep,354.8358233,77.6331009,14.1024
Kepler-662,290.4650801,47.9291252,815.637
WASP-71,29.2634506,0.7588247,362.715
Kepler-242,286.5656932,41.8084168,600.241
HAT-P-4,229.99122,36.229545,320.451
Kepler-546,283.257573,40.9904095,1019.65
Kepler-125,298.2581101,47.6050031,183.365
Kepler-937,294.1688142,46.7146161,1571.46
Kepler-336,290.2376224,41.3313637,768.86
Kepler-1321,294.528597,46.6408737,769.146
Kepler-712,294.9096739,42.9351987,872.493
HATS-4,94.1120914,-22.5468824,416.459
K2-381,288.0267612,-21.0075789,145.701
Kepler-322,281.3487514,44.2952525,400.48
Kepler-1810,291.8129995,38.0880964,1009.87
Kepler-2000,285.5743032,49.9621218,320.588
Kepler-185,282.4681674,43.8899464,466.735
Kepler-270,282.2001207,44.4222795,948.781
HD 2952,8.2938367,54.8948177,110.103
Kepler-1763,294.1130368,40.3628861,756.486
Kepler-401,290.0827494,50.8634361,965.56
Kepler-604,292.3159795,42.6262429,1026.49
Kepler-468,288.9022829,49.3704079,442.871
Kepler-703,299.1868586,41.742699,1156.83
HD 16175,39.2577379,42.0624526,59.859
HD 210193,332.3951324,-41.225205,42.2029
Kepler-421,283.2568116,45.0876823,348.558
HD 147873,246.4380471,-33.5672217,109.055
Kepler-4,285.6154492,50.1357712,487.916
Kepler-1204,289.4415238,42.4981476,1175.22
Kepler-1569,292.2046748,37.2212065,945.454
HD 45350,97.1902262,38.9627315,46.8733
Kepler-1893,298.4012866,44.8381709,1050.72
Kepler-1556,288.3969751,40.2131892,944.54
Kepler-1173,293.1311803,45.6634153,377.06
Kepler-484,284.3942844,46.2491109,382.136
CoRoT-36,277.7510149,7.1833465,925.958
HAT-P-11,297.7101763,48.0818635,37.7647
K2-88,54.7514566,19.1199667,110.561
Kepler-689,294.7106347,39.5216975,1131.73
Kepler-587,288.6706571,47.3991249,787.894
Kepler-659,287.6081777,47.5096893,722.64
Kepler-1907,280.7085829,47.3279236,292.111
Kepler-573,289.5211955,51.2374057,771.471
Kepler-362,291.771603,47.5299192,1090.51
Kepler-471,299.0975167,43.4975851,1249.41
K2-268,133.7094899,11.8482712,327.783
Kepler-668,285.4992845,49.2772713,784.618
Kepler-881,288.9925529,46.6706513,1375.18
Kepler-208,293.8901979,42.5279413,775.328
Kepler-1804,301.3428675,44.672175,434.456
Kepler-1165,286.9712284,44.7082669,1575.2
Kepler-711,297.4600468,42.8398172,624.575
Kepler-183,293.5308112,39.3159329,1050.64
Kepler-332,286.6627811,47.4136938,344.19
Kepler-84,298.2520208,40.4960842,1023.9
K2-116,336.1523363,-11.5793181,49.3855
Kepler-401,290.0827494,50.8634361,965.56
Kepler-1962,289.5483989,40.1641457,866.826
